ime;pivovarna;vrsta;velikost;stopnja_alkohola;drzava;cena;opis
Averbode;Huyghe Brewery;Blonde Beer;0.33;7.5;Belgium;3.5;A Belgian, bottled-conditioned blonde beer, brewed by Huyghe Brewery (famous for their Delirium Tremens) in collaboration with the Averode Abbey, a Premonstratensian abbey near Diest.
Brugse Zot;Brouwerij de Halve Maan;Blonde Beer;0.33;6.0;Belgium;2.09;Ah, Brugse Zot, the town beer of Bruges from the Brouwerij De Halve Maan (meaning 'half moon') made with four different malts and two varieties of hop.
Belgoo Magus;Brouwerij Belgoo;Wheat / Wit / White Beer;0.33;6.6;Belgium;;A golden four grain Belgian beer made with wheat, barley, spelt and oats!
Moinette Blonde;Dupont;Blonde Beer;0.33;8.5;Belgium;2.85;Created in 1955 and originally sold under the Abbaye de la Moinette” name, it's been simply Moinette since 1980.
La Chouffe;Brasserie d'Archouffe;Blonde Beer;0.33;8.0;Belgium;3.56;A blonde/blond beer from the Ardennes. Unfiltered and bottle conditioned, it's made with both hops and coriander.
Troubadour Blonde;Troubadour;Blonde Beer;0.33;6.5;Belgium;2.05;A classic Belgian style Blonde from the Troubadour range, excellent for warm evenings on sunny holidays.
Brugse Zot Dubbel;Brouwerij de Halve Maan;Dubbel Beer;0.33;7.5;Belgium;2.2;A Belgian dubbel from a brewery in the heart of historic Bruges with roots back to the 16th century that was reborn in 2005 by the descendants of the Maes family, who had owned it since 1856.
Delirium Nocturnum;Huyghe Brewery;Dark Ale Beer;0.33;8.5;Belgium;2.75;Delirium Tremens' brother, Delirium Nocturnum, is a darker style of Belgian ale from the Huyghe Brewery, featuring more robust notes of well-roasted malt at its core.
Paulaner Salvator;Paulaner Brauerei;Bock Beer;0.33;7.9;Germany;1.95;The strongest beer from Paulaner Brauerei - Salvator! A big-bodied, bottom-fermented German doppelbock, brewed by Paulaner for over 350 years.
Siren Broken Dream;Siren Craft Brew;Stout Beer;0.33;6.5;England;2.99;This right here is Siren Craft Brew's breakfast stout, Broken Dream. A dramatic name for a big-bodied, coffee rich brew.
Straffe Hendrik Quadrupel;Brouwerij de Halve Maan;Quadrupel Beer;0.33;11.0;Belgium;3.3;A rich dark quadrupel from Huisbrouwerij De Halve Maan, situated in the heart of beautiful Bruges. (It's in Belgium.
Bush Ambrée;Dubuisson;Tripel Beer;0.33;12.0;Belgium;3.7;A tripel made with caramel malt and their own house yeast that's been cultivated for over 80 years. It was first brewed in 1933 by the grandfather of current master brewer Hugues Dubuisson.
Gulden Draak;Van Steenberge;Dark Ale Beer;0.33;10.5;Belgium;3.25;Golden Draak from the Van Steenberge brewery is a rather strong Belgian dark ale named after the statue at the top of the Belfry of Ghent - a golden dragon!
Kasteelbier Donker;Van Honsebrouck;Quadrupel Beer;0.33;11.0;Belgium;3.25;From Brewery Van Honsebrouck (founded by Amandus Van Honsebrouck back in the 1800s, though it was only given that name in the mid-1900s by Luc Van Honsebrouck) comes their Donker Qaudrupel style
Troubadour Westkust;Brouwerij The Musketeers;Dark Ale Beer;0.33;9.2;Belgium;;A dark, heavily hopped Belgian ale from The Musketeers brewery, founded in 2000.
Delirium Red;Huyghe Brewery;Fruit Beer;0.33;8.0;Belgium;2.75;A cherry-flavoured entry in the memory of Delirium beers (yes, we used the collective noun for elephants to group all the Delirium beers together, and we feel very clever for doing so).
Floris Chocolate;Huyghe Brewery;Coffee / Chocolate / Honey Beer;0.33;4.2;Belgium;1.95;From the Floris range, produced by Huyghe Brewery, based around a wheat beer recipe and combined with chocolate. Very sweet and chocolatey (as you might expect).
Floris Framboise;Huyghe Brewery;Fruit Beer;0.33;3.6;Belgium;1.9;Ah, one of those Floris fruit beers from the Huyghe Brewery, produced in Belgium! This would pair excellently with a bowl of vanilla ice cream we reckon...
Floris Kriek;Huyghe Brewery;Fruit Beer;0.33;3.6;Belgium;1.9;An interesting fruit beer from the Floris range, produced by the Huyghe Brewery in Belgium, made using a wheat beer recipe and featuring the juicy notes of cherries.
Floris Honey;Huyghe Brewery;Coffee / Chocolate / Honey Beer;0.33;4.5;Belgium;2.0;Something a little different from the Belgian Floris range - a honey flavoured beer!
Floris Mango;Huyghe Brewery;Fruit Beer;0.33;3.6;Belgium;2.5;A juicy, exotic flavour of Floris which incorporates fresh mango juice, produced in Belgium by the Huyghe Brewery (well know for producing the Delirium Tremens and more).
Floris Ninkeberry;Huyghe Brewery;Fruit Beer;0.33;3.6;Belgium;1.9;A gamut of juicy fruits go into making the Floris Ninkeberry, which is based around a wheat beer recipe. Look out for notes of passion fruit, apricot, mango and peach...
Floris Passion;Huyghe Brewery;Fruit Beer;0.33;3.6;Belgium;2.0;One of those famous Floris fruit beers from the Belgian Huyghe Brewery.
Früli Strawberry Beer;Huyghe Brewery;Fruit Beer;0.33;4.1;Belgium;2.62;Strawberries and wheat beer - not a flavour combination that comes to mind all that often, unless you're a regular sipper of the delicious Früli Strawberry Beer, produced in Belgium.
Lindemans Apple (37.5cl);Lindemans;Fruit Beer;0.37;3.5;Belgium;2.5;An apple flavoured Lambic beer from the world famous Lindemans range. These brewers make some absolutely fantastic Lambics, and have a wonderful selection of fruit-based variants to tempt you with...
Lindemans Cassis (37.5cl);Lindemans;Fruit Beer;0.37;3.5;Belgium;4.1;Perfect for accompanying sweet desserts or for enjoying on a warm afternoon, Lindemans Cassis is a richly fruity Lambic beer from Belgium.
Lindemans Framboise (37.5cl);Lindemans;Fruit Beer;0.38;2.5;Belgium;3.2;From the top range of fruit-flavoured Lambic beers produced by Lindemans comes their rather lovely raspberry edition, fit to burst with juicy, vibrant raspberry sweetness.
Lindemans Kriek (37.5cl);Lindemans;Fruit Beer;0.37;3.5;Belgium;3.6;The classic Lindemans fruit-focussed Lambic beer - Lindemans Kriek. A superbly flavoursome beer, with in-your-face cherry notes aplenty.
Lindemans Pecheresse (37.5cl);Lindemans;Fruit Beer;0.37;2.5;Belgium;4.0;For their Pecheresse Lambic beer, the Lindemans brewers in Belgium add a portion of peach juice to give the beer its sweet, juicy, expressive personality.
Mongozo Banana;Mongozo;Fruit Beer;0.33;3.6;Netherlands;2.1;From the Dutch Mongozo range of vibrantly flavoured beers comes a banana flavoured edition.
Mongozo Coconut;Mongozo;Fruit Beer;0.33;3.6;Netherlands;2.1;A very intriguing coconut beer from the Mongozo range, which is based in The Netherlands. Combining notes of coconut and quinoa, this makes for a rather unique tipple. Serve well chilled.
Mongozo Mango;Mongozo;Fruit Beer;0.33;3.6;Netherlands;2.1;Need something cool, refreshing and sweet on a hot summer evening? Try one of the exotic flavoured beers from the Mongozo range, produced in The Netherlands.
Barbãr;Brasserie Lefebvre;Coffee / Chocolate / Honey Beer;0.33;8.0;Belgium;;A blonde honey ale from Brasserie Lefebvre (who also produce Blanche de Bruxelles) based on ancient cervoise beer, known as 'Warrior’s rest'.
Boon Framboise (37.5cl);Boon;Fruit Beer;0.37;5.0;Belgium;3.7;Boon Frambois is made by adding fresh raspberries (25%) and cherries to Lambic beer, fermented by wild yeast, which starts a second fermentation.
Boon Kriek (37.5cl);Boon;Fruit Beer;0.37;4.0;Belgium;3.38;Belgian Lambic made with cherries! No artificial colouring or flavouring is used, just fresh black cherries (25%) added to old and young lambic to provoke a second wild fermentation.
Pêche Mel Bush;Dubuisson;Fruit Beer;0.33;8.5;Belgium;2.95;Made with Bush Ambrée and peach lambic, this strong fruity beer is based on a popular Belgian student drink! Serve well-chilled.
Hiver Honey Beer;Hiver Beer;Coffee / Chocolate / Honey Beer;0.33;4.5;England;2.15;Hiver Honey Beer is a delicious blonde made using honey from British bee-keepers, which  is added at the fermentation stage.
Kasteelbier Rouge;Van Honsebrouck;Fruit Beer;0.33;8.0;Belgium;2.9;Kasteel Rouge is a rather interesting concoction from Van Honsebrouck, which combined their Donker Quadrupel style beer with cherry liqueur!
Hacker-Pschorr Münchner Kellerbier Anno 1417;Hacker-Pschorr;Lager / Pilsner Beer;0.5;5.5;Germany;2.75;Hacker-Pschorr's Münchner Kellerbier Anno 1417 harks back to the old days of Bavarian brewing, and as such, this flavoursome lager is bottled without filtration.
Hacker-Pschorr Munich Gold;Hacker-Pschorr;Lager / Pilsner Beer;0.5;5.5;Germany;2.45;A fine example of German lager from Hacker-Pschorr. Munich Gold is full-bodied and packed with creamy, malty goodness, making it a fine choice for enjoying on a long, warm evening...
Hacker-Pschorr Münchner Hell;Hacker-Pschorr;Lager / Pilsner Beer;0.5;5.0;Germany;;Top quality lager from the Hacker-Pschorr brewery in munich, one of the six breweries which provide the beer for the city's annual Oktoberfest celebrations.
Fourpure Pils;Fourpure Brewing Co.;Lager / Pilsner Beer;0.33;4.7;England;2.25;The Fourpure Brewing Co. in London have made their own imagining of the classic German Pilsner, featuring a combination of Hallertau Mittelfrüh and Saaz hops. Delicious enjoyed cold.
Kona Longboard Island Lager (35.5cl);Kona Brewing Co;Lager / Pilsner Beer;0.35;4.6;United States;2.2;A rather delightful lager from the Hawaii-based Kona Brewing Co., whose labels always seem to be awesome.
Paulaner Münchner Hell;Paulaner Brauerei;Lager / Pilsner Beer;0.5;4.9;Germany;2.15;This is a classic Munich lager from Paulaner Brauerei, who have been brewing in the German city since the 1600s.
Paulaner Münchner Dunkel;Paulaner Brauerei;Lager / Pilsner Beer;0.5;5.0;Germany;2.05;A traditional style of lager from Paulaner Brauerei, made with a higher percentage of roasted malts then their classic Münchner Hell.
Augustiner-Bräu Edelstoff;Augustiner;Lager / Pilsner Beer;0.5;5.6;Germany;;An export strength beer from Augustiner, the oldest brewery in Munich, first brewed in 1927.
Augustiner-Bräu Lagerbier Hell;Augustiner;Lager / Pilsner Beer;0.5;5.2;Germany;;A classic Helles lager from the oldest brewery in Munich.
Slag Lager Bier;Brouwerij Slaghmuylder;Lager / Pilsner Beer;0.33;5.0;Belgium;1.35;Well then, it's Slag Lager Bier. A Belgian Pils from Brouwerij Slaghmuylder, who brew the Witkap-Pater beers.
Mongozo Premium Pilsner;Mongozo;Lager / Pilsner Beer;0.33;5.0;Netherlands;1.9;The Mongozo Premium Pilsner is a Fairtrade, gluten-free, organic Dutch beer made using barley malt, rice and hops. Interesting stuff...
Omission Lager (35.5cl);Widmer Brothers Brewing;Lager / Pilsner Beer;0.35;4.6;United States;2.0;An American lager, produced in Portland Oregon by Widmer Brothers Brewing, featuring Mt. Hood, Sterling and Hallertau hops.
Omission Pale Ale;Widmer Brothers Brewing;APA (American Pale Ale) Beer;0.36;5.8;United States;;A pale ale from the Omission range, produced by Widmer Brothers Brewing in Portland, Oregon, with cascade hops at its core.
Fourpure IPA;Fourpure Brewing Co.;IPA (India Pale Ale) Beer;0.33;6.5;England;;Founded in 2013, Fourpour Brewing Co. in London already have a rather excellent selection of craft beers, like their ace IPA.
Fourpure Pale Ale;Fourpure Brewing Co.;APA (American Pale Ale) Beer;0.33;5.0;England;2.25;A West Coast-inspired hoppy session ale from Fourpure with malt that doesn't just make up the numbers.
Fourpure Session IPA;Fourpure Brewing Co.;IPA (India Pale Ale) Beer;0.33;4.2;England;2.25;Taking plenty of inspiration from American IPA, Fourpure's Session IPA is a well-hopped beauty, featuring Ahtanum, Citra, Crystal, Galaxy and Mosaic hops.
Kona Castaway IPA (35.5cl);Kona Brewing Co;IPA (India Pale Ale) Beer;0.35;6.0;United States;2.2;Wilson! Wilson, this is an IPA called Castaway from the Kona Brewing Co., made with Galaxy, Simcoe, Citra and Millennium hops! Wilson!!!
Kona Fire Rock Pale Ale;Kona Brewing Co;APA (American Pale Ale) Beer;0.36;5.8;United States;2.2;A light, fruity pale ale from the Kona Brewing Company, which is based in Hawaii. They refer to it as a 'Hawaiian-Style' pale ale, and the label certainly fits the bill, doesn't it?
Redhook Long Hammer IPA (35.5cl);Redhook Brewery;IPA (India Pale Ale) Beer;0.35;6.2;United States;2.2;A big, pine-y American IPA from Redhook, who started brewing over 30 years ago in Seattle, WA. This is dry-hopped and features the wonderful freshness of the cascade hop at its core.
Siren Soundwave IPA;Siren Craft Brew;IPA (India Pale Ale) Beer;0.33;5.6;England;2.8;From Siren Craft Brewing in Berkshire comes the Soundwave IPA, a West Coast styled treat that is just bursting at the seams with vibrant fruit notes.
Siren Undercurrent;Siren Craft Brew;Pale Ale Beer;0.33;4.5;England;2.7;Undercurrent from Siren Craft Brew in Berkshire is a rather interesting pale ale made with oats as one of its grains, along with cascade and palisade hops. Excellent bottles, too.
Troubadour Magma;Troubadour;IPA (India Pale Ale) Beer;0.33;9.0;Belgium;2.6;The Troubadour Magma (fantastic name, by the way) sees a classic combination of flavours - you've got the big, bold, fruity notes from some of Belgium's tastiest ales working alongside the classic
Vedett Extra Ordinary IPA;Duvel Moortgat;IPA (India Pale Ale) Beer;0.33;5.5;Belgium;1.99;Brewed at Duvel, this is a modern Belgian IPA that's dry hopped with four American hop varieties and features a walrus as a mascot! There is nothing not to like here.
Fourpure Oatmeal Stout;Fourpure Brewing Co.;Stout Beer;0.33;5.1;England;2.25;A creamy, luxurious Outmeal Stout from London-based brewery, Fourpure Brewing Company. Big and bold, but delightfully drinkable indeed - grab a can, grab a glass and enjoy.
Hercule Stout;Brasserie De Légendes;Stout Beer;0.33;9.0;Belgium;;A Belgian Stout which has been named after one of our favourite detectives, Hercule Poirot, owner of one of our favourite moustaches!
Troubadour Obscura;Troubadour;Stout Beer;0.33;8.2;Belgium;2.45;A rather interesting beer from the Belgian Troubadour selection - the Obscura features many of a stout's classic characteristics (think roasted malt giving off chocolate and coffee notes aplenty),
Troubadour Imperial Stout;Troubadour;Stout Beer;0.33;9.0;Belgium;3.3;From the Troubadour range, brewed in Belgium, comes a richly nutty Imperial Stout!
Siren Liquid Mistress;Siren Craft Brew;IPA (India Pale Ale) Beer;0.33;5.8;England;2.9;A well-hopped red IPA from Siren Craft Brew in Berkshire. Malty and sweet with a good burst of hops later on.
Duchesse de Bourgogne;Brouwerij Verhaeghe;Sour / Lambic Beer;0.33;6.2;Belgium;2.05;Duchesse de Bourgogne is Flemish red sour beer that takes from the country's beers being known as the 'Burgundies of Belgium'. It's a blend of 8 and 18 month old beer.
Rodenbach Grand Cru;Brouwerij Rodenbach;Sour / Lambic Beer;0.33;6.0;Belgium;2.9;A classic Flemish red sour beer with a higher proportion of older beer (2/3) in than blend than the Rodenbach original, and a higher abv.
Saison 1900;Brasserie Lefebvre;Saison Beer;0.33;5.4;Belgium;1.55;First released in 1982, this is a refreshing saison from Brasserie Lefebvre near Brussels.
Saison Dupont;Dupont;Saison Beer;0.33;6.5;Belgium;;A saison thought to date back to 1844 on the Rimaux-Deridder farm brewery, which Alfred Dupont would go on to purchase for his son in 1920. Top traditional Belgian farmhouse refreshment.
Lindemans Faro (37.5cl);Lindemans;Sour / Lambic Beer;0.37;4.5;Belgium;2.3;A Lambic beer from the Lindemans folks, harking back to an old tradition of adding sugar to Lambic beer to make it more approachable.
Lindemans Oude Gueuze Cuvée René (37.5cl);Lindemans;Sour / Lambic Beer;0.37;6.0;Belgium;3.74;Lindemans Oude Gueuze Cuvée René is a blend of young and old Lambic beer, which is matured in large oak barrels and then bottle conditioned. Much like a wine, this will cellar very well...
Siren Calypso;Siren Craft Brew;Wheat / Wit / White Beer;0.33;4.0;England;2.2;In an homage to the Goddess Calypso, who was known for her sharp tongue, Siren Craft Brew created this dry-hopped Berliner-style sour beer!
Boon Oude Geuze 2012 Mariage Parfait (37.5cl);Boon;Sour / Lambic Beer;0.38;8.0;Belgium;;Traditional geuze lambic, made by blending younger lambic beer (perhaps a year old) with older lambic before a further fermentation in the bottle.
Oud Beersel Framboise (37.5cl);Oud Beersel Brewery;Fruit Beer;0.37;5.0;Belgium;5.65;From the Belgian Oud Beersel brewery comes their Framboise beer, made by combining their excellent Lambic beer with oodles of raspberries (and handful of cherries too).
Oud Beersel Oude Kriek Vieille (37.5cl);Oud Beersel Brewery;Fruit Beer;0.37;6.0;Belgium;;An excellent Kriek from the Oud Beersel Brewery in Belgian (not far from the centre of Brussels).
Delirium Tremens;Huyghe Brewery;Blonde Beer;0.33;8.5;Belgium;2.95;The most famous beer from the Belgian Huyghe Brewery, Delirium Tremens is notable for being made with three types of yeast - it's also well known for its bottle reminiscent of Cologne ceramics.
La Guillotine;Huyghe Brewery;Pale Ale Beer;0.33;8.5;Belgium;;La Guillotine comes to us via the Belgian Huyghe Brewery, well known for their Delirium beers.
Kona Big Wave Golden Ale (35.5cl);Kona Brewing Co;Blonde Beer;0.35;4.4;United States;2.0;The tasty Big Wave Golden Ale from the Hawaii-based Kona Brewing Co., made to be an easy-drinking treat after a hard day surfing. If you were to say hello to this beer, you might give it a...
Straffe Hendrik Tripel;Brouwerij de Halve Maan;Tripel Beer;0.33;9.0;Belgium;2.9;An awesome golden abbey style tripel from the heart of historic Bruges. Been there we have, tasted it at the brewery, bloody delicious it is too!
DeuS Brut des Flandres Cuvée Prestige 2014;Brouwerij Bosteels;Blonde Beer;0.75;11.5;Belgium;;A beer made somewhat like a fine sparkling wine, the beer is brewed at Bosteels in Belgium before being sent to Champagne.
Duvel;Duvel Moortgat;Blonde Beer;0.33;8.5;Belgium;3.7;Duvel is perhaps the definitive golden Belgian blonde ale.
Gouden Carolus Classic;Brouwerij Het Anker;Dark Ale Beer;0.33;8.5;Belgium;;Named World's Best Dark Ale at the World Beer Awards in 2012, Gouden Carolus is brewed at Het Anker in Mechelen. Perfect for cellaring for as long as you want.
Grotten Santé;Kazematten;Dark Ale Beer;0.33;6.5;Belgium;;A cave-aged Belgian brown ale from Brouwerij De Kazematten, which is based in the town of Ypres in West Flanders.
Kasteelbier Tripel;Van Honsebrouck;Tripel Beer;0.33;11.0;Belgium;4.26;This is Brewery Van Honsebrouck's Tripel style strong Belgian ale, weighing in at a generous 11% ABV. Very attractive golden hue to this one, with plenty of hops used to give it a rich bitterness.
Satan Gold;Brouwerij de Block;Pale Ale Beer;0.33;8.0;Belgium;2.65;The devil comes in many forms, forms like Red, and Gold. This is the gold one. A strong Belgian pale ale waiting for you to welcome it into your home.
Tripel Karmeliet;Brouwerij Bosteels;Blonde Beer;0.33;8.4;Belgium;;An abbey style tripel first released in 1996, based on a 17th century recipe that calls for wheat, oats and barley.
Hacker-Pschorr Weisse;Hacker-Pschorr;Wheat / Wit / White Beer;0.5;5.5;Germany;2.45;A traditional wheat beer from Hacker-Pschorr, one of the six breweries that supply beer for Munich's Oktoberfest celebrations. A simple but stunning beer from the German brewers.
Hopf Helle Weisse;Weißbierbrauerei Hopf;Wheat Beer;0.5;5.5;Germany;;A rather tasty German wheat beer, rather classic in style. You'll be getting a lot of fruit and spice from this one. Serve cold on a warm afternoon...
Mongozo Buckwheat White;Mongozo;Wheat / Wit / White Beer;0.33;4.7;Netherlands;2.15;From the Mongozo range, produced in The Netherlands, comes a quite interesting gluten free wheat beer - you see, the Mongozo Buckwheat White is made using buckwheat alongside hops and rice, and is
Paulaner Hefe-Weißbier Naturtrüb;Paulaner Brauerei;Wheat / Wit / White Beer;0.5;5.5;Germany;2.15;Paulaner Hefe-Weißbier Naturtrüb is one of Germany's most popular wheat beers. The brewery was established back in the 1600s and resides in the beautiful city of Munich.
Paulaner Hefe-Weißbier Naturtrüb Can;Paulaner Brauerei;Wheat / Wit / White Beer;0.33;5.5;Germany;;One of Germany's favourite Hefe-Weißbier, now available in a can!
Paulaner Hefe-Weißbier Dunkel;Paulaner Brauerei;Wheat / Wit / White Beer;0.5;5.3;Germany;2.1;For their Hefe-Weißbier Dunkel, Paulaner Brauerei used a high percentage of dark Munich malts, resulting in a deep bronze hue.
Blanche de Bruxelles;Brasserie Lefebvre;Wheat / Wit / White Beer;0.33;4.5;Belgium;1.65;A Belgian wheat beer from the village of Quenast, not far from Brussels.
St. Bernardus Abt 12;Brouwerij St. Bernardus;Quadrupel Beer;0.33;10.0;Belgium;3.2;A rather inviting Quadrupel style ale from the Belgian St. Bernardus brewery. A rather inviting Quad, with plenty of hop bitterness and balancing sweetness.
St. Bernardus Pater 6;Brouwerij St. Bernardus;Dubbel Beer;0.33;6.7;Belgium;1.75;An abbey style dubbel from the Sint Bernardus brewery, which takes its name from Mont des Cats monks who were forced to cross the border between France and Belgium at the start of the 20th century and
St. Bernardus Tripel;Brouwerij St. Bernardus;Tripel Beer;0.33;8.0;Belgium;2.55;The St. Bernardus Tripel is a rich though light ale from the Belgian brewery, featuring juicy notes of citrus running through its core.
St. Bernardus Wit;Brouwerij St. Bernardus;Wheat / Wit / White Beer;0.33;5.5;Belgium;2.05;A charming wheat beer from the Belgian St. Bernardus brewery, which was developed in collaboration with Master Brewer Pierre Celis.
St-Feuillien Blonde;Brasserie St-Feuillien;Blonde Beer;0.33;7.5;Belgium;2.1;A strong blonde ale from the fourth generation brewers at St-Feuillien, a brewery named after a 7th century Irish monk who was martyred at Le Roeulx.
St-Feuillien Brune Réserve;Brasserie St-Feuillien;Dubbel Beer;0.33;8.5;Belgium;2.7;An traditional bottle conditioned abbey-style dubbel from top Belgian brewers St-Feuillien.
St-Feuillien Triple;Brasserie St-Feuillien;Tripel Beer;0.33;8.5;Belgium;2.9;An abbey-style 8.5% beer from the excellent St-Feuillien.
Witkap-Pater Stimulo;Brouwerij Slaghmuylder;Abbey / Trappist Beer;0.33;6.0;Belgium;2.2;A bottle conditioned golden 'singel' from Brouwerij Slaghmuylder in Belgium.
Achel 8 Blond;Achel;Tripel Beer;0.33;8.0;Belgium;2.4;Achel or Brouwerij der Sint-Benedictusabdij de Achelse Kluis, is (as you may have guessed from the full name) a true Trappist brewery.
Chimay Bleue;Chimay;Abbey / Trappist Beer;0.33;9.0;Belgium;3.05;A true Trappist beer, Chimay abbey is recognised by the International Trappist Association of which it was a founding member. Chimay blue is bottle conditioned and weighs in at a strong 9% abv.
Chimay Rouge;Chimay;Dubbel Beer;0.33;7.0;Belgium;2.2;The original Chimay Trappist beer, still made within the walls of the abbey under the supervision of the monks (and hence able to carry the logo of the International Trappist Association). A classic.
Chimay Triple;Chimay;Tripel Beer;0.33;8.0;Belgium;2.65;An authentic golden Trappist tripel from Chimay, brewed within the wall of the Abbaye Notre-Dame de Scourmont.
La Trappe Blond;Bierbrouwerij De Koningshoeven;Abbey / Trappist Beer;0.33;6.5;Netherlands;2.2;An excellent Trappist Blond ale from the Dutch La Trappe selection.
La Trappe Dubbel;Bierbrouwerij De Koningshoeven;Dubbel Beer;0.33;7.0;Netherlands;2.15;Classic Trappist Dubbel from Koningshoeven Abbey in the Netherlands, a founding member of the International Trappist Association.
La Trappe Puur;Bierbrouwerij De Koningshoeven;Abbey / Trappist Beer;0.33;4.7;Netherlands;;This Trappist pale ale from the Dutch La Trappe range has been made using organic malted barley and organic hops, and it's been brewed using green energy too!
La Trappe Quadrupel;Bierbrouwerij De Koningshoeven;Quadrupel Beer;0.33;10.0;Netherlands;3.25;A quadrupel that started it all from the innovative Dutch Trappist Koningshoeven brewery! Fill your boots.
La Trappe Tripel;Bierbrouwerij De Koningshoeven;Tripel Beer;0.33;8.0;Netherlands;2.75;This is the Tripel from La Trappe's ace range of Trappist ales. Something of a classic, this.
Orval;Orval;Abbey / Trappist Beer;0.33;6.2;Belgium;;An all-time great of a beer, this classic Belgian Trappist ale is made under the supervision of the monks at l'Abbaye d'Orval.
Trappistes Rochefort 10;Brasserie de Rochefort;Quadrupel Beer;0.33;11.3;Belgium;3.99;Rochefort's leading beer, one of the most highly rated Trappist beers (or beers of any style) in the world.
Trappistes Rochefort 6;Brasserie de Rochefort;Dubbel Beer;0.33;7.5;Belgium;2.4;The Trappist abbey of Rochefort (or the Abbey of Notre-Dame de Saint-Rémy) is one of just six true Trappist brewers within Belgium.
Trappistes Rochefort 8;Brasserie de Rochefort;Abbey / Trappist Beer;0.33;9.2;Belgium;3.1;A newer release from authentic Trappist brewers at Rochefort Abbey (also known as the Abbey of Notre-Dame de Saint-Rémy).
Westmalle Dubbel;Brouwerij der Trappisten van Westmalle;Dubbel Beer;0.33;7.0;Belgium;2.05;The Dubbel from Belgian Trappist brewery Westmalle is a definitive Dubbel. With its classic deep ruby hue and expressive palate, this is top quality Belgian ale here.
Westmalle Tripel;Brouwerij der Trappisten van Westmalle;Tripel Beer;0.33;9.5;Belgium;3.0;The mother of all tripels, first brewed in 1934, this highly regarded authentic Trappist beer has inspired many imitators over the years and is still oneof the finest examples available.
Belgoo Bio Blond Organic;Brouwerij Belgoo;Wheat / Wit / White Beer;0.33;6.4;Belgium;;An organic Belgian beer malt with three grains: wheat, barley and spelt. Formerly known as Bioloo Blond, it's brewed by Jo Van Aerts.
Mikkeller 2012 Fra Til Via Cognac Barrel Aged (37.5cl);Mikkeller;Winter / Christmas Ale Beer;0.37;8.0;Denmark;;An excellent Christmas gift for the beer enthusiast in your life - this edition of Mikeller's 2012 Fra Til Via Imperial Porter has been aged in Cognac barrels!
High Weald Greenstede Golden Ale;High Weald Brewery;Blonde Beer;0.5;4.0;England;3.3;High Weald's Greenstede Golden Ale sees the East Grinstead brewers combining British and American hop varieties in one refreshing brew which is just perfect for summer evenings.
High Weald Chronicle Sussex Bitter;High Weald Brewery;Bitter Beer;0.5;3.8;England;3.3;A rather tasty bitter from the folks at High Weald Brewery in East Grinstead. They've gone and used a combination of Fuggles and Goldings hops for this one.
BrewDog Jet Black Heart;BrewDog;Stout Beer;0.33;4.7;Scotland;2.28;Jet Black Heart won the hearts of beer fans in BrewDog's 2015 Prototype Series, and with good reason - it's a bloomin' excellent milk stout brewed with Magnum and Sorachi Ace hops and loaded with
BrewDog Dead Pony Club;BrewDog;IPA (India Pale Ale) Beer;0.33;3.8;Scotland;1.79;A hop-heavy pale ale from Scottish craft brewers, BrewDog, inspired by the west-coast of America.
BrewDog Nanny State;BrewDog;Low-Alcohol Beer;0.33;0.5;Scotland;1.79;Nanny State is BrewDog's answer to the world of low-alcohol beers. Weighing in at 0.
BrewDog Arcade Nation;BrewDog;IPA (India Pale Ale) Beer;0.33;5.2;Scotland;2.2;A marvellously toasted black IPA from BrewDog, launched in 2016.
BrewDog Prototype Black IPA;BrewDog;IPA (India Pale Ale) Beer;0.33;5.3;Scotland;;This Black IPA from BrewDog was released as part of the 2015 Prototype Series, and though the name might sound a little bit like an oxymoron, the beer itself is spot-on.
Brewdog Prototype Hopped-Up Brown Ale;BrewDog;Dark Ale Beer;0.33;6.3;Scotland;;Part of BrewDog's 2015 Prototype series, the Hopped-Up Brown Ale sees the Scottish craft brewers tackle a delicious brown ale with plenty of hops at the ready.
Brewdog Jack Hammer Gift Pack;BrewDog;IPA (India Pale Ale) Beer;0.66;7.2;Scotland;;A great present for the bitterest person in your life - 2 bottles of BrewDog's Jack Hammer IPA and a BrewDog-branded glass. Jam-packed with hops, this one. Aces.
Brewdog Black Eyed King Imp;BrewDog;Coffee / Chocolate / Honey Beer;0.33;12.7;Scotland;;BrewDog's Black Eyed King Imp was the world's strongest canned ale, weighing in at a hefty 12.7% ABV.
Mikkeller Vild;Mikkeller;Blonde Beer;0.33;12.3;Denmark;5.7;A strong Belgian ale produced at D'Proef for Mikkeller's fantastic range of craft beers. Bottled at 12.3% ABV, this is a particularly hefty brew, though its personality manages to stay rather light.
Brew By Numbers 03|05 Porter (Willamette & Centennial);Brew By Numbers;Porter Beer;0.33;6.4;England;;From the wonderful Brew By Numbers range (which features a handy naming convention, where the first number refers to the beer's style and the second number refers to the beer's recipe) comes 03|05, an
Stillwater As Follows;Stillwater Artisanal;Saison Beer;0.36;9.0;United States;4.5;As Follows is a hoppy Belgian style golden ale from Stillwater, an American brewing company Brian Strumke. They say this is ...built sturdy enough to withstand the Apocalypse...
Stillwater Cellar Door;Stillwater Artisanal;Wheat / Wit / White Beer;0.36;6.6;United States;;An American wheat beer from the Stillwater selection - this has been brewed using German wheat and pale malts, alongside Citra and Sterling hops as well as a subtle touch of white sage.
