drzava;opis;regija;barva;cena;stopnja_alkohola;ime;vrsta;slika;vonj;velikost;okus
South Africa;Deep golden straw in colour, with a rich, viscous appearance. The nose and palate is a complex, enticing blend of dried peaches, apricots and marmalade, with savoury, nutty aromas of almonds, marzipan and honey. The intense mouth-feel is balanced by a clean, fresh and very long finish of dried apricots. The wine is best served chilled. -- Winery;Coastal Region;White;39.98;10.0;2015 Mullineux Straw Wine;Chenin Blanc;https://dsi2vjvztwiuk.cloudfront.net/website/products/103008/bottle/754993/original.png;honeydew,   iodine,   grass,   citrus,   melon and   kiwi;0.375;honeysuckle,   quince,   melon and   cantaloupe
United States;"The 2015 'Seven Leagues' Santa Maria Valley Pinot Noir comes from famed vineyards in Santa Maria Valley, Bien Nacido Vineyards, and Sierra Madre Vineyards. Seven Leagues converts to 23 miles which is the average distance from the two vineyards to the coast. Composed of old vine Pommard, 777, 115, and Pommard 4 clones, picked in 3 picks between 22 and 23.5 brix, fermented with native yeast and aged for 16 months.""- Winery";California;Red;45.99;13.5;2015 Scar Of The Sea Seven Leagues Santa Maria Pinot Noir;Pinot Noir;https://dsi2vjvztwiuk.cloudfront.net/website/products/103013/bottle/753297/original.png;barnyard,   cherry,   plum,   game and   tomato;0.75;ripe cherry,   plum,   strawberry,   raspberry and   mushroom
United States;Medium garnet-purple colored, the 2015 Claret offers notes of blackberries, kirsch and red currants with hints of earth and dried herbs. The medium to full-bodied palate is plush, velvety and open for business, with some baking spice notes coming through on the finish.This soft, easy-drinking Cabernet is a good introduction to the vintage, and while it will improve over the course of three to eight years, it is not a wine intended for long-term cellaring.;California;Red;33.96;14.5;2015 Ramey Claret;blend;https://dsi2vjvztwiuk.cloudfront.net/website/products/103018/bottle/753220/original.png;currant,   blackberry,   cherry,   cedar,   cigar box,   violet,   rose,   truffle,   earth,   coffee,   leather,   spice,   spice box,   dark fruit,   mocha,   vanilla and   tobacco;0.75;currant,   blackberry,   cherry,   bell pepper,   olive,   asparagus,   spice,   ginger,   oak,   vanilla,   black cherry,   plum,   smoke,   toast,   tar,   pepper,   earth,   green,   mocha,   blueberry,   strawberry,   lead,   cedar,   molasses and   dark fruit
Argentina;"This cuvée takes its name from a small parcel of the Adrianna Vineyard that is completely covered with oval white stones and was the site of an ancient riverbed. The abundant stones provide optimal drainage and extreme temperatures. They absorb heat and moderate the nights, but also function like ice cubes after a very cold night. Stony soil Malbecs tend to be extremely aromatic, rich and luxurious, just like the River Stones Malbec from Adrianna. This wine can be enjoyed young or aged for decades.""- Winery";Mendoza;Red;124.99;14.1;2012 Catena Zapata Adrianna Malbec River Stones;Malbec;https://dsi2vjvztwiuk.cloudfront.net/website/products/103026/bottle/754818/original.png;spice,   earth,   currant and   cherry;0.75;pepper,   earth,   green,   plum,   mocha and   currant
United States;Keenan Winery is located in Spring Mountain District, high in the Mayacamas mountain range above the town of Saint Helena. Eleven acres of Merlot vines have been planted in the rocky soils surrounding the winery, and it is these vines that produce some of the finest Merlot in Napa. The vineyards are situated above the dense layer of fog that creeps up the Napa Valley most evenings. Consequently the vines warm up earlier in the morning and stay warm through the night. The combination of warm temperatures, steep hillside vine rows and gravelly soils promotes more stress on the vines leading to increased intensity in the finished wine.The 2014 Keenan Merlot is composed of eighty one percent Keenan Estate Merlot. Nineteen percent of the wine is Merlot fruit harvested from the Napa Carneros region. After hand harvesting, the grapes were de-stemmed, then inoculated with Montrachet yeast. Fermentation ranged from ten to fourteen days.The ‘14 Merlot has been aged in thirty-three percent new French and American oak barrels for eighteen months. The resulting wine shows intense aromas of black cherry, blackberry, and cassis. Complex nuances of cocoa and coffee bean emerge as the wine opens up. This is a “big” Merlot that will age for many years to come.;California;Red;32.99;14.5;2014 Keenan Napa Merlot;Merlot;https://dsi2vjvztwiuk.cloudfront.net/website/products/103052/bottle/755343/original.png;violet,   rose,   truffle,   earth,   coffee and   leather;0.75;currant,   black cherry,   plum,   bell pepper,   olive,   oak,   smoke,   toast and   tar
France;Beautiful, traditional blend of Merlot and Cabernet Franc grown in iron-rich soils just a stone’s throw from Figeac and Cheval Blanc.;Bordeaux;Red;49.99;13.0;2012 Chatau Valois Pomerol;blend;https://dsi2vjvztwiuk.cloudfront.net/website/products/103089/bottle/753206/original.png;tobacco,   broccoli,   berry,   flower,   violet,   rose,   truffle,   earth,   coffee and   leather;0.75;tobacco,   raspberry,   cassis,   violet,   pepper,   green bean,   currant,   black cherry,   plum,   bell pepper,   olive,   oak,   smoke,   toast and   tar
France;"“Its bouquet has various expressions that speak with generosity. On the palate, ample and elegant fruit combine with a powerful minerality to create a demi-sec equilibrium. Long, persistent finesse. The natural tension of the Osterberg combines wonderfully with the generosity of the Gewurztraminer."" Drinking window 2020-2040.";Alsace;White;49.99;13.5;2013 Domaine Kientzler Osterberg Riesling Grand Cru;blend;https://dsi2vjvztwiuk.cloudfront.net/website/products/103090/bottle/752903/original.png;petrol,   flint,   rose petal,   violet,   orange peel,   apple,   pear,   peach,   honey,   spice,   perfume and   mango;0.75;apple,   pear,   peach,   apricot,   honey,   spice,   lemon,   lychee and   mango
France;The 2014 Riesling Grand Cru Geisberg is pure and precise on the nose, dense and clear, with some minty flavors. On the palate this is a pure, cool, fresh and bone-dry Riesling with a silky texture and a lot of salt and tension. This is pure and finessed, combining the freshness and piquancy of sandstone with the silkiness and fruit of a limestone terroir. The finish is fresh and aromatic, with lots of citrus flavors and a touch of Champagne because of the citrus flavors, chalkiness and the wild, small red berries like strawberries or red cassis. This Riesling has a gorgeous finesse and definition. It is a great Riesling that will age for at least 20 years.;Alsace;White;59.99;13.0;2014 Domaine Kientzler Geisberg Riesling Grand Cru;Riesling;https://dsi2vjvztwiuk.cloudfront.net/website/products/103091/bottle/752917/original.png;petrol,   flint,   rose petal,   violet,   orange peel,   apple,   pear and   peach;0.75;apple,   pear,   peach,   apricot and   honey
France;" ""From 25-year-old Auxerrois and Pinot Blanc vines on pure granite soils on the top of the Kastelberg, the 2015 La Fontaine Aux Enfants Cru d'Alsace opens with a pure and fresh citrus fruit aroma with crushed stones flavors. Medium to full-bodied, very fresh, pure and salty-mineral on the palate this is a ripe, lush and promising Pinot wth an almost steely, aromatically intense and juicy finish…";Alsace;White;22.98;13.0;2015 La Fontaine Aux Enfants Pinot Blanc D;blend;https://dsi2vjvztwiuk.cloudfront.net/website/products/103092/bottle/753864/original.png;apple,   lemon,   honeysuckle,   spice,   floral,   musky,   cabbage and   honey;0.75;apple,   lemon,   citrus,   apricot,   acidic,   honey,   white fruit and   ripe melon
Italy;"Carmignano is a sub-area of historical Tuscany, capable of giving wines with great personality and vigor. The prevalence of Sangiovese, together with Cannaiolo and Cabernet Sauvignon gives a subtle harmony to this wine, perfect to accompany meat dishes and elaborate dishes. The Fattoria di Bacchereto ""Terre a Mano"" is one of the most fascinating and deserving reality of Tuscany, a poster of passion and ethical conscience applied to the vineyard. The winery follows the principles of biodynamics, the wine is made from indigenous yeasts, without any aid of chemical in the vineyard and in the cellar. A true wine of great personality, capable of expressing character and tell their own story within the glass. A wine away from any notion of approval because it was born from the belief and the feeling that you breathe at Fattoria di Bacchereto. A wine to try for his marvelous ability to combine the historical value of the Carmignano with the skill of the forward-looking men who put their hands in the vineyard. Because the wine, this wine, comes from the vineyard.Intense fruity and spicy with notes of ripe red fruit, pepper, leather, tobacco and liquorice";Tuscany;Red;34.99;14.5;2013 Terre A Mano Carmignano;blend;https://dsi2vjvztwiuk.cloudfront.net/website/products/103093/bottle/753041/original.png;asparagus,   green pepper,   red fruit,   currant,   blackberry,   cherry,   cedar and   cigar box;0.75;red fruit,   strawberry,   raspberry,   currant,   blackberry,   cherry,   bell pepper,   olive,   asparagus,   spice,   ginger,   oak and   vanilla
United States;2014 Tapestry reflects the 2014-growing season with its dense, powerful aromas and flavors, with bold structure. This is a wine that shows the artistry of blending five Bordeaux-heritage grape varieties, which contributed layer-upon-layer of flavor complexity. Cabernet Sauvignon gave the wine its generous core of briary blackberry and cassis expression, while we increased the amount of Merlot this year to tame the tannins and add plush mid-palate texture. Malbec contributed deep plum notes, while Cabernet Franc and Petit Verdot completed the blend with nuances of rose, forest loam and graphite.We tailored the winemaking for each varietal to best capture the personality of both the vintage and specific vineyard block. Cold soaking of the destemmed grapes, gentle punch-downs in open-top fermentors and in-barrel malolactic fermentation all contributed to this wine’s richly textured flavors. Aging in 60 percent new oak barrels balanced the wine’s impressive depth of varietal expression with toffee and spiced nuances. ;California;Red;34.99;14.8;2014 Beaulieu Vineyards Reserve Tapestry Red;blend;https://dsi2vjvztwiuk.cloudfront.net/website/products/103098/bottle/753227/original.png;currant,   blackberry,   cherry,   cedar,   cigar box,   tobacco,   broccoli,   berry,   flower,   violet,   rose,   truffle,   earth,   coffee and   leather;0.75;currant,   blackberry,   cherry,   bell pepper,   olive,   asparagus,   spice,   ginger,   oak,   vanilla,   tobacco,   raspberry,   cassis,   violet,   pepper,   green bean,   black cherry,   plum,   smoke,   toast and   tar
United States;...rings with cool climate acidity, which props up rich apple, lemon crème and peach fruit, which are joined by a soft toffee note that adds depth and complexity. The acid structure keeps everything knit together through a long, mouthwatering finish. This has some aging potential -- if you like the rewards that older, well-built Chardonnay can bring, this one is up to some cellar time.”;California;White;22.0;14.0;2015 Steele Chardonnay Durrell Vineyard;Chardonnay;https://dsi2vjvztwiuk.cloudfront.net/website/products/103102/bottle/753171/original.png;apple,   pear,   peach,   apricot,   lemon,   lime,   orange,   pineapple,   kiwi,   butter,   cream and   vanilla;0.75;apple,   pear,   peach,   apricot,   lemon,   lime,   orange,   pineapple,   kiwi,   butter,   cream and   vanilla
United States;  “Cherokee Lane” pays tribute to the old stretch of Highway 99 running through the town of Lodi and surrounding vineyards.Origin/LocationThe wine is 100% Cabernet Sauvignon and was sourced from a single sustainably farmed vineyard in Lodi which is located near Sacramento.WinemakingExtended maceration was used to add depth, structure and complexity to the wine. The red fermentation tanks are specially designed to give winemakers complete control of the fermentation and rate of extraction. Forty percent of our blend spent a year in a combination of American and French oak barrels. Alcohol: 13.8%Tasting Notes & Food ParingOur Cabernet Sauvignon “Cherokee Lane” is loaded with aromas and flavors of red and black cherries supported by vanilla and cedar nuances. It is beautifully balanced with both fruit and tannins. An ideal pairing with grilled meats, sausages or stews.;California;Red;9.95;13.8;2014 Tortoise Creek Cabernet Sauvignon;Cabernet Sauvignon;https://dsi2vjvztwiuk.cloudfront.net/website/products/103103/bottle/754732/original.png;currant,   blackberry,   cherry,   cedar and   cigar box;0.75;currant,   blackberry,   cherry,   bell pepper,   olive,   asparagus,   spice,   ginger,   oak and   vanilla
United States;Folk Tree village series is a nod to the Vin de France style wines that we’ve all enjoyed for years. Not only for the subtle and approachable characteristics, but mostly for the amazing price points that do not break the bank. Let’s stop straining our necks to look for the next “serious” region in California or “allocated” wine. This is wine for the people made by the people.;California;White;11.5;13.0;2016 Folk Tree Chardonnay;Chardonnay;https://dsi2vjvztwiuk.cloudfront.net/website/products/103108/bottle/753025/original.png;apple,   pear,   peach,   apricot,   lemon,   lime,   orange,   pineapple,   kiwi,   butter,   cream and   vanilla;0.75;apple,   pear,   peach,   apricot,   lemon,   lime,   orange,   pineapple,   kiwi,   butter,   cream and   vanilla
France;"Jean Boxler, many generations removed from his ancestor of the same name that moved here from Switzerland in 1673, currently rules the roost at this humble yet incredibly exciting domaine. Intense and serious about his land, his craft, and his wine, Jean is the genius behind what are certainly some of the finest white wines in Alsace (and the world).<BR><BR>The family’s holdings are centered around the ancient village of Niedermorschwihr in the Haut-Rhin, dominated by the imposing granite hillside grand cru, Sommerberg. Jean vinifies microparcels within this cru separately, declassifying some into his Réserve wines and producing multiple bottlings of Sommerberg from the different lieux-dits depending on the vintage. Sommerberg gives racy, intensely structured, very long-lived wines. Riesling, Pinot Gris, and Pinot Blanc are the specialties of the domaine, Jean also produces one of Alsace's best Crémants (and Edelzwickers), an incredible Gewurztraminer grown in limestone, and some of the most hauntingly pure Vendanges Tardives and SGNs in all of Alsace. If that weren't enough, the Boxlers also own land in the powerful grand cru Brand, the ultimate counterpart to their holdings in Sommerberg."" -Importer";Alsace;White;69.99;14.0;2015 Albert Boxler Riesling Brand Grand Cru;Riesling;https://dsi2vjvztwiuk.cloudfront.net/website/products/103115/front/752825/original.png;petrol,   flint,   rose petal,   violet,   orange peel,   apple,   pear and   peach;0.75;apple,   pear,   peach,   apricot and   honey
France;"Jean Boxler, many generations removed from his ancestor of the same name that moved here from Switzerland in 1673, currently rules the roost at this humble yet incredibly exciting domaine. Intense and serious about his land, his craft, and his wine, Jean is the genius behind what are certainly some of the finest white wines in Alsace (and the world).<BR><BR>The family’s holdings are centered around the ancient village of Niedermorschwihr in the Haut-Rhin, dominated by the imposing granite hillside grand cru, Sommerberg. Jean vinifies microparcels within this cru separately, declassifying some into his Réserve wines and producing multiple bottlings of Sommerberg from the different lieux-dits depending on the vintage. Sommerberg gives racy, intensely structured, very long-lived wines. Riesling, Pinot Gris, and Pinot Blanc are the specialties of the domaine, Jean also produces one of Alsace's best Crémants (and Edelzwickers), an incredible Gewurztraminer grown in limestone, and some of the most hauntingly pure Vendanges Tardives and SGNs in all of Alsace. If that weren't enough, the Boxlers also own land in the powerful grand cru Brand, the ultimate counterpart to their holdings in Sommerberg."" -Importer";Alsace;White;79.99;14.0;2015 Albert Boxler Riesling Sommerberg Dudenstein Grand Cru;Riesling;https://dsi2vjvztwiuk.cloudfront.net/website/products/103116/front/752824/original.png;petrol,   flint,   rose petal,   violet,   orange peel,   apple,   pear and   peach;0.75;apple,   pear,   peach,   apricot and   honey
South Africa;"Rockstar Pinot Noir. Winemaker Francois Haasbroek’s surname may translate in Afrikaans as “rabbit pants”, but his Pinot Noir is no laughing matter. Serious stuff, crafted using grapes sourced from three young sites in the über-trendy Elgin area, fermented roughly one-third whole bunch and spending three weeks on skins. It is aged in seasoned oak, unfiltered and ridiculously rare as he made less than 2,000 bottles. This is such a rockstar Pinot Noir that if you left it on its own in a hotel room, you’d come back to find it in bed with six Chardonnays, the TV out the window, the sprinklers going off and an empty minibar."" -- Winery";Cape South Coast;Red;24.99;12.4;2013 Blackwater Cuvee Terra Lux Pinot Noir;Pinot Noir;https://dsi2vjvztwiuk.cloudfront.net/website/products/103131/bottle/753105/original.png;barnyard,   cherry,   plum,   game and   tomato;0.75;ripe cherry,   plum,   strawberry,   raspberry and   mushroom
Australia;Don't expect explosive fruit from this wine. It delivers a pungent, spicy mix of cola, roasted meat and black olives instead, cushioned by ample weight in the mouth and a broad, creamy texture. Drink now–2020.;South Australia;Red;13.98;14.5;2013 Nine Mile Road Shiraz;Syrah / Shiraz;https://dsi2vjvztwiuk.cloudfront.net/website/products/103145/bottle/753065/original.png;spice box,   cedar and   dark fruit;0.75;currant,   blueberry,   blackberry and   strawberry
United States;"Aromas of dark fruits and spice with flavors of red cherry, sage and herbs; excellent structure and freshness";California;Red;6.99;14.4;2014 Redwood Cabernet Sauvignon;blend;https://dsi2vjvztwiuk.cloudfront.net/website/products/103153/bottle/753090/original.png;currant,   blackberry,   cherry,   cedar,   cigar box,   violet,   rose,   truffle,   earth,   coffee,   leather,   tobacco,   broccoli,   berry and   flower;0.75;currant,   blackberry,   cherry,   bell pepper,   olive,   asparagus,   spice,   ginger,   oak,   vanilla,   black cherry,   plum,   smoke,   toast,   tar,   tobacco,   raspberry,   cassis,   violet,   pepper and   green bean
Argentina;Lovely rose-petal and berry character. Perfumed. Medium body, round and silky and a clean. Delicate and refined. Drink now.;Mendoza;Red;14.87;14.0;2015 La Celia Pioneer Cabernet Franc;Cabernet Franc;https://dsi2vjvztwiuk.cloudfront.net/website/products/103159/bottle/755029/original.png;tobacco,   broccoli,   berry and   flower;0.75;tobacco,   raspberry,   cassis,   violet,   pepper and   green bean
Argentina;Floral and berry-like with hints of spices. Medium body and very fine tannins. Fresh and clean. Lovely balance and subtlety. Drink now.;Mendoza;Red;12.99;14.5;2015 La Celia Pioneer Malbec;Malbec;https://dsi2vjvztwiuk.cloudfront.net/website/products/103160/bottle/755622/original.png;spice,   earth,   currant and   cherry;0.75;pepper,   earth,   green,   plum,   mocha and   currant
United States;Pale yellow in color. Aromas fill the glass with rich bright fruit, minerals and cream with honeyed pear-apple. Bright and vibrant palate shows rich flavors evoking apple galette, honey, and creamy vanilla bean. Full and round with a rich mouth-feel and a long finish of Asian pear with toasty oak notes.;California;White;16.09;13.5;2015 Franciscan Chardonnay;Chardonnay;https://dsi2vjvztwiuk.cloudfront.net/website/products/103161/bottle/752943/original.png;apple,   pear,   peach,   apricot,   lemon,   lime,   orange,   pineapple,   kiwi,   butter,   cream and   vanilla;0.75;apple,   pear,   peach,   apricot,   lemon,   lime,   orange,   pineapple,   kiwi,   butter,   cream and   vanilla
United States; Pale gold in the glass, this delectable white wine tempts your palate with a kick of ginger, fresh pear, grapefruit and honeydew aromas.Flavors of peach, melon and spice lead to a delicious, juicy and refreshing finale.Food Pairing:Did someone say picnic? If so, make sure you bring a bottle of The Orchard Pinot Gris! Fill your basket with farmstead cheese sand fresh fruits. Forgetting some smoked salmon, and maybe some freshly made Pasta Salad with an Asparagus Pesto. Also scrumptious with seared Scallops, grilled chicken kabobs or our favorite halibut tacos with mango salsa and a bit chipotle crema. ;Willamette Valley Oregon;White;13.98;14.1;2016 Left Coast Cellars Pinot Gris The Orchards;blend;https://dsi2vjvztwiuk.cloudfront.net/website/products/103165/bottle/753036/original.png;floral,   butter,   cream,   almond,   citrus,   apple,   lemon,   honeysuckle and   spice;0.75;lemon,   apple,   pear,   citrus,   apricot and   acidic
United States;Peterson wine that shouts out its origins with every sip. Our Bradford Mountain vineyards produce wine grapes with a unique and very recognizable minerality, and that expression of place reaches its apex in the Bradford Mountain Estate Vineyard Cabernet Sauvignon.The intensity of the Cabernet Sauvignon is complemented with exotic spice from Cabernet Franc, wonderful aromatics from Petit Verdot, and plush fruit qualities from Merlot to create a wine that offers layer upon layer of flavors and aromas. Though big and bold, this is still a wine with balance and finesse. It is not one of those over-oaked and over-extracted creations that are currently the rage with some wine critics yet have no place on the table, nor the potential for successful bottle aging. This is a wine that will definitely benefit from both bottle age and/or decanting to allow the wine to open and reveal all of its depth and complexity.;California;Red;39.99;13.3;2012 Peterson Cabernet Sauvignon Bradford Vineyard;Cabernet Sauvignon;https://dsi2vjvztwiuk.cloudfront.net/website/products/103168/bottle/753110/original.png;currant,   blackberry,   cherry,   cedar and   cigar box;0.75;currant,   blackberry,   cherry,   bell pepper,   olive,   asparagus,   spice,   ginger,   oak and   vanilla
Spain;"Bodegas Bagordi is located in the town of Andosilla in Rioja Baja-- the area with the most Mediterranean climate in Rioja. It is a 58-hectares estate owned by brothers Luisma and Fernando Carcar--5th generation growers in the region. They were one of the first properties in all of Rioja to be certified organic--not a difficult task for them, since they've been farming true to the land for generations. As all things lead back to the land for the brothers, the name Bagordi is no different. Bagordi is a Basque name from ""Bagoa"" which means ""the beech grove"", in reference to the abundance of these majestic trees surrounding the vineyards.The Bagordi Crianza is a blend of 80% Tempranillo and 20% Garnacha. The wine is aged for twelve months in American oak barrels followed by at least one year of bottle age. The wine pours a deep red with violet highlights. On the nose intense aromas of ripe red fruit are mixed with gentle hints of cinnamon, vanilla and coffee. On the palate, the wine displays excellent structure with impeccable balance of fruit and wood flavors, complimented by a subtle anise finish. Enjoy with grilled steak, squash or barbecue chicken.";La Rioja;Red;14.99;;2014 Bodegas Bagordi Crianza Rioja;blend;https://dsi2vjvztwiuk.cloudfront.net/website/products/103169/bottle/753114/original.png;"berry
,   cherry
,   plum
,   earth
,   leather
,   herb,   vanilla,   toast,   smoke,   tobacco,   dark fruit,   red fruit,   black berry,   black cherry,   tar and   flower";0.75;"berry
,   cherry
,   plum
,   earth
,   leather
,   herb,   black currant,   blackberry,   dust,   leather,   black berry,   black cherry,   tobacco and   tar"
France;All purity of fruit and terroir. Blackberry and plums backed by hints of tobacco. Palate is fresh and vibrant and finishes with pepper, licorice and mint.;Bordeaux;Red;22.99;14.0;2015 Simon Blanchard Saint Emilion;blend;https://dsi2vjvztwiuk.cloudfront.net/website/products/103174/bottle/753115/original.png;violet,   rose,   truffle,   earth,   coffee,   leather,   tobacco,   broccoli,   berry and   flower;0.75;currant,   black cherry,   plum,   bell pepper,   olive,   oak,   smoke,   toast,   tar,   tobacco,   raspberry,   cassis,   violet,   pepper and   green bean
France;Another top wine from this region. Full and chewy with polished tannins. Rich and savory. Handmade. 48% cabernet franc and 52% merlot. 1,500 bottles. ;Bordeaux;Red;43.99;14.0;2015 Simon Blanchard ;blend;https://dsi2vjvztwiuk.cloudfront.net/website/products/103176/bottle/753327/original.png;violet,   rose,   truffle,   earth,   coffee,   leather,   tobacco,   broccoli,   berry and   flower;0.75;currant,   black cherry,   plum,   bell pepper,   olive,   oak,   smoke,   toast,   tar,   tobacco,   raspberry,   cassis,   violet,   pepper and   green bean
Germany;J&H Selbach is the proprietary brand for the regional wines of Johannes Selbach. Johannes uses his long-standing relationships with growers around the Mittelmosel to source quality grapes for these cuvees. Though many Piesporters and Bernkastelers of dubious quality are available in the market, Johannes and his team work hard to ensure a level of quality and continuity from vintage to vintage, while keeping these wines inexpensive and serving as a great introduction to Mosel Riesling.;Mosel;White;10.99;10.0;2016 Selbach Zeller Schwarze Katz Riesling;Riesling;https://dsi2vjvztwiuk.cloudfront.net/website/products/103177/bottle/753061/original.png;petrol,   flint,   rose petal,   violet,   orange peel,   apple,   pear and   peach;0.75;apple,   pear,   peach,   apricot and   honey
Spain;"The white Tempranillo Blanco grape is 97% genetically similar to its red Tempranillo cousin.  The leaves and grape cluster shape are identical; so also are their susceptibility to diseases and pests.  Both have short, early-ripening cycles which enable these grapes to be grown in any subzone of the Rioja Domination and to complete their ripening even in zones where later ripening takes place.  The Tempranillo Blanco vines have medium to high vigor and a medium yield (6,000 kg of grapes per hectare).  The grape clusters, while abundant, are of small size and medium weight."" -- Winery";La Rioja;White;17.99;12.0;2016 Pena El Gato Tempranillo Blanco;Tempranillo / Tinto Fino / Tinta Roriz;https://dsi2vjvztwiuk.cloudfront.net/website/products/103179/bottle/753116/original.png;"berry
,   cherry
,   plum
,   earth
,   leather
 and   herb";0.75;"berry
,   cherry
,   plum
,   earth
,   leather
 and   herb"
United States;The mature berry flavors and spiciness which originates from our prime Paso Robles vineyards have resulted in a fruit forward and eminently drinkable Cabernet Sauvignon. After aging in 60-gallon American oak barrels for 8 months, this wine has a deliberate cabernet structure with proper amounts of tannins and viscosity. This Cabernet Sauvignonis showing beautifully now and will age nicely over the next 3-5 years. -- Winery;California;Red;10.4;13.8;2014 Mountain View Vintners Cabernet Sauvignon Cooper Canyon;Cabernet Sauvignon;https://dsi2vjvztwiuk.cloudfront.net/website/products/103181/bottle/755756/original.png;currant,   blackberry,   cherry,   cedar and   cigar box;0.75;currant,   blackberry,   cherry,   bell pepper,   olive,   asparagus,   spice,   ginger,   oak and   vanilla
United States;This bold Cabernet opens with flavors of black cherries and blackberries with a touch of currants and vanilla, complemented by earth and mineral notes. Deep berry flavors lead to a soft tannin cocoa finish.;Washington;Red;12.09;14.5;2015 Columbia Crest H3 Merlot;blend;https://dsi2vjvztwiuk.cloudfront.net/website/products/103182/bottle/752960/original.png;currant,   blackberry,   cherry,   cedar,   cigar box,   violet,   rose,   truffle,   earth,   coffee,   leather,   spice box and   dark fruit;0.75;currant,   blackberry,   cherry,   bell pepper,   olive,   asparagus,   spice,   ginger,   oak,   vanilla,   black cherry,   plum,   smoke,   toast,   tar,   blueberry and   strawberry
Chile;Aromas of ripe black fruit and black pepper are complemented with cassis flavors and hints of spice with a long velvety finish.;Central Valley;Red;8.99;14.0;2015 Veramonte Cabernet Sauvignon;Cabernet Sauvignon;https://dsi2vjvztwiuk.cloudfront.net/website/products/103184/bottle/753075/original.png;currant,   blackberry,   cherry,   cedar and   cigar box;0.75;currant,   blackberry,   cherry,   bell pepper,   olive,   asparagus,   spice,   ginger,   oak and   vanilla
United States;Features enticing aromas of Bing cherry, dark chocolate, clove, and roasted fig. Persistent flavors of ripe raspberry, boysenberry, pomegranate, and vanilla linger harmoniously, for a smooth and luscious finish.;California;Red;39.99;15.2;2016 The Prisoner;blend;https://dsi2vjvztwiuk.cloudfront.net/website/products/103186/bottle/753282/original.png;candy,   vanilla,   oak,   smoke,   tar,   musk,   mushroom,   currant,   blackberry,   cherry,   cedar,   cigar box,   spice,   boysenberry,   blueberry,   jam,   leather,   tobacco,   dark fruit,   earth and   mocha;0.75;jam,   blueberry,   black pepper,   cherry,   plum,   boysenberry,   cranberry,   licorice,   currant,   blackberry,   bell pepper,   olive,   asparagus,   spice,   ginger,   oak,   vanilla,   dark berry fruit,   high tannin,   black cherry,   mocha,   acid,   tannin and   black currant
Italy;"Well-balanced, dry with pear and honeysuckle flavors and a fresh clean finish."" -Winery";Veneto;White;10.9;11.5;2016 Bartenura Pinot Grigio;Pinot Gris / Pinot Grigio;https://dsi2vjvztwiuk.cloudfront.net/website/products/103193/bottle/754479/original.png;floral,   butter,   cream,   almond and   citrus;0.75;lemon,   apple and   pear
Israel;The Segal Fusion Red Blend is a mixture of 60% Merlot, 20% Cabernet Franc, and 20% Cabernet Sauvignon. The grapes and the high-tech process of micro-oxygenation has resulted in a very round wine with exotic spiciness and plenty of fruit. ;Israel;Red;12.99;13.2;2016 Segal;blend;https://dsi2vjvztwiuk.cloudfront.net/website/products/103194/bottle/753299/original.png;violet,   rose,   truffle,   earth,   coffee,   leather,   tobacco,   broccoli,   berry,   flower,   currant,   blackberry,   cherry,   cedar and   cigar box;0.75;currant,   black cherry,   plum,   bell pepper,   olive,   oak,   smoke,   toast,   tar,   tobacco,   raspberry,   cassis,   violet,   pepper,   green bean,   blackberry,   cherry,   asparagus,   spice,   ginger and   vanilla
United States;The Grove Ridge Cabernet Sauvignon opens with extreme deepened hues and vibrant colors. Aromas include a romantic fusion of black currant, dry herbs and slight earthiness. Dark berries and cherries accompanied by subtle spice leave a smooth finish.;California;Red;8.09;13.0;2014 Grove Ridge Cabernet Sauvignon;Cabernet Sauvignon;https://dsi2vjvztwiuk.cloudfront.net/website/products/103208/bottle/753321/original.png;currant,   blackberry,   cherry,   cedar and   cigar box;0.75;currant,   blackberry,   cherry,   bell pepper,   olive,   asparagus,   spice,   ginger,   oak and   vanilla
France;Rich, full of citrus and ripe apple flavors, this is a sophisticated wine. The mineral texture and the dense fruit flavors offer a delicious take on Sauvignon Blanc, giving complexity and ripeness. Drink this wine from 2018.;Loire;White;21.96;13.0;2016 Laporte Sancerre Terre Des Anges;Sauvignon Blanc;https://dsi2vjvztwiuk.cloudfront.net/website/products/103209/bottle/753073/original.png;apple,   pear,   kiwi,   citrus,   stone,   grapefruit and   melon;0.75;grass,   gooseberry,   grapefruit,   lime,   melon,   citrus,   mineral and   flint
Italy;Barolo DOCG Riserva “Essenze” is a Barolo blend of the finest pedigree. It is produced only in special vintages.;Piedmont;Red;49.99;13.5;2004 Vite Colte Riserva Essenze Barolo;Nebbiolo;https://dsi2vjvztwiuk.cloudfront.net/website/products/103210/bottle/753433/original.png;truffle,   cherry,   plum,   leather and   vanilla;0.75;blackberry,   cherry,   smoke and   earth
